ILCEADI,lat,lon
SELÇUKLU,32.48581,38.06507
KARATAY,32.97138,37.92789
MERAM,32.28967,37.70690
AHIRLI,32.11022,37.28795
AKÖREN,32.36334,37.41199
AKŞEHİR,31.45843,38.35886
ALTINEKİN,32.91247,38.30070
BEYŞEHİR,31.64925,37.69398
BOZKIR,32.30577,37.15703
CİHANBEYLİ,32.88495,38.68952
DERBENT,31.99815,37.99172
DEREBUCAK,31.54104,37.39019
DOĞANHİSAR,31.65851,38.13277
EMİRGAZİ,33.78904,37.98773
EREĞLİ,34.07066,37.68188
GÜNEYSINIR,32.7124,37.21094
HADİM,32.49396,36.97278
HALKAPINAR,34.28277,37.38525
HÜYÜK,31.59923,37.91932
ILGIN,31.91354,38.26768
KADINHANI,32.18374,38.50301
KARAPINAR,33.50463,37.72591
KULU,33.05071,39.01922
SARAYÖNÜ,32.45173,38.48737
SEYDİŞEHİR,31.94276,37.46431
TAŞKENT,32.58646,36.88678
TUZLUKÇU,31.67174,38.50340
YALIHÜYÜK,32.05693,37.28779
YUNAK,31.9288,38.78441
ÇELTİK,31.84244,39.00065
ÇUMRA,32.77412,37.52184
